Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2015-06;Transilien;J;Paris Saint-Lazare Nord;88,97;8,1
2015-06;Transilien;K;Paris Nord Crépy;90,04;9
2015-06;Transilien;L;Paris Saint-Lazare Sud;82,64;4,8
2015-06;Transilien;N;Paris Montparnasse;87,84;7,2
2015-06;Transilien;P;Paris Est;88,84;8
2015-06;Transilien;R;Paris Sud Est;85,19;5,8
2015-06;Transilien;U;La Verrière - La Défense;93,66;14,8
2015-07;RER;A;RER A;73,10;2,7
2015-07;RER;B;RER B;90,90;10
2015-07;RER;C;RER C;88,30;7,5
2015-07;RER;D;RER D;87,70;7,1
2015-07;RER;E;RER E;93,50;14,4
2015-07;Transilien;H;Paris Nord Ouest;92,80;12,9
2015-07;Transilien;J;Paris Saint-Lazare Nord;86,90;6,6
2015-07;Transilien;K;Paris Nord Crépy;89,40;8,4
2015-07;Transilien;L;Paris Saint-Lazare Sud;78,50;3,7
2015-07;Transilien;N;Paris Montparnasse;90,60;9,6
2015-07;Transilien;P;Paris Est;90,10;9,1
2015-07;Transilien;R;Paris Sud Est;88,80;7,9
2015-07;Transilien;U;La Verrière - La Défense;92,30;12
2015-08;RER;A;RER A;83,00;4,9
2015-08;RER;B;RER B;92,92;13,1
2015-08;RER;C;RER C;93,10;13,5
2015-08;RER;D;RER D;91,50;10,8
2015-08;RER;E;RER E;94,70;17,9
2015-08;Transilien;H;Paris Nord Ouest;96,30;26
2015-08;Transilien;J;Paris Saint-Lazare Nord;90,00;9
2015-08;Transilien;K;Paris Nord Crépy;87,60;7,1
2015-08;Transilien;L;Paris Saint-Lazare Sud;89,90;8,9
2015-08;Transilien;N;Paris Montparnasse;96,30;26
2015-08;Transilien;P;Paris Est;90,80;9,9
2015-08;Transilien;R;Paris Sud Est;91,20;10,4
2015-08;Transilien;U;La Verrière - La Défense;95,90;23,4
2015-09;RER;A;RER A;70,00;2,3
2015-09;RER;B;RER B;89,36;8,4
2015-09;RER;C;RER C;90,69;9,7
2015-09;RER;D;RER D;87,08;6,7
2015-09;RER;E;RER E;89,90;8,9
2015-09;Transilien;H;Paris Nord Ouest;95,66;22
2015-09;Transilien;J;Paris Saint-Lazare Nord;85,14;5,7
2015-09;Transilien;K;Paris Nord Crépy;87,90;7,3
2015-09;Transilien;L;Paris Saint-Lazare Sud;84,19;5,3
2015-09;Transilien;N;Paris Montparnasse;92,97;13,2
2015-09;Transilien;P;Paris Est;86,05;6,2
2015-09;Transilien;R;Paris Sud Est;89,62;8,6
2015-09;Transilien;U;La Verrière - La Défense;92,79;12,9
2015-10;RER;A;RER A;65,83;1,9
2015-10;RER;B;RER B;89,98;9
2015-10;RER;C;RER C;88,03;7,4
2015-10;RER;D;RER D;84,20;5,3
2015-10;RER;E;RER E;94,99;18,9
2015-10;Transilien;H;Paris Nord Ouest;93,51;14,4
2015-10;Transilien;J;Paris Saint-Lazare Nord;87,99;7,3
2015-10;Transilien;K;Paris Nord Crépy;90,21;9,2
2015-10;Transilien;L;Paris Saint-Lazare Sud;82,69;4,8
2015-10;Transilien;N;Paris Montparnasse;87,45;7
2015-10;Transilien;P;Paris Est;90,73;9,8
2015-10;Transilien;R;Paris Sud Est;85,05;5,7
2015-10;Transilien;U;La Verrière - La Défense;91,46;10,7
2015-11;RER;A;RER A;67,10;2
2015-11;RER;B;RER B;86,60;6,5
2015-11;RER;C;RER C;85,80;6
2015-11;RER;D;RER D;81,60;4,4
2015-11;RER;E;RER E;92,90;13,1
2015-11;Transilien;H;Paris Nord Ouest;94,30;16,5
2015-11;Transilien;J;Paris Saint-Lazare Nord;88,30;7,5
2015-11;Transilien;K;Paris Nord Crépy;85,00;5,7
2015-11;Transilien;L;Paris Saint-Lazare Sud;80,60;4,2
2015-11;Transilien;N;Paris Montparnasse;88,50;7,7
2015-11;Transilien;P;Paris Est;87,90;7,3
2015-11;Transilien;R;Paris Sud Est;82,20;4,6
2015-11;Transilien;U;La Verrière - La Défense;90,50;9,5
2015-12;RER;A;RER A;70,16;2,4
2015-12;RER;B;RER B;88,00;7,3
2015-12;RER;C;RER C;90,30;9,3
